max_spearman,min_spearman,avg_spearman,below_zero,between_zero_and_half,above_half,max_mape,min_mape,avg_mape,max_r2,min_r2,avg_r2,strategy,prior_days
0.9939130434782607,-0.8495652173913043,0.611390964009189,21,71,273,0.9187156485141653,0.02528725536002042,0.2270644595553277,0.9117550235375438,-773.6619309845727,-20.823235693554395,ONE_YEAR_FULL,0
0.9982608695652172,-0.9017391304347826,0.6084268433225235,333,839,3208,24906206795256.355,0.01872603638482852,559337145409.1597,0.9385244476284772,-5.587039200196368e+29,-2.1541386712986543e+27,ONE_MONTH_FULL,0
0.9878260869565217,-0.8278260869565216,0.6604150663001593,24,49,291,2.182261502184162,0.04322964683100374,0.3188109826567774,0.3734487771321666,-694.4367893318257,-31.283689803552498,YEAR_WITH_X_DAYS_PRIOR,1
0.9939130434782607,-0.8434782608695651,0.6848702277039739,17,45,301,2.820064173869613,0.010806858840521363,0.17153971525177858,0.9668311026038613,-1936.2983936472929,-20.096085544728258,YEAR_WITH_X_DAYS_PRIOR,2
0.9913043478260868,-0.6486956521739129,0.7032649718765499,19,37,306,2.1383285326318653,0.010842197181803048,0.1412647153737963,0.94815318714785,-942.937879766755,-12.269099319540206,YEAR_WITH_X_DAYS_PRIOR,3
0.9956521739130434,-0.6626086956521738,0.7100583710488817,17,40,304,1.571371259644249,0.01523343864781622,0.12569087187154288,0.9482136605570983,-305.6092742327412,-7.3934502816115755,YEAR_WITH_X_DAYS_PRIOR,4
0.994782608695652,-0.6947826086956521,0.7077652002205778,15,39,306,1.1760869836074754,0.013820163049389747,0.12818264671912097,0.9592547376537967,-387.52739360168135,-6.917621216942161,YEAR_WITH_X_DAYS_PRIOR,5
0.9956521739130434,-0.7304347826086957,0.7031314319687819,16,45,298,1.033532337601968,0.01333032417314361,0.13125226026578282,0.9605528675796685,-237.22690767591698,-6.105100809423444,YEAR_WITH_X_DAYS_PRIOR,6
0.9965217391304346,-0.7913043478260868,0.7048808003292617,16,42,300,0.731721972053451,0.01479291318824702,0.13010121355164195,0.9433084372830919,-226.0493652845577,-6.068644408648215,YEAR_WITH_X_DAYS_PRIOR,7
0.994782608695652,-0.7913043478260868,0.6988853323730156,19,38,300,0.6424688546419158,0.012264179969017436,0.12916062158144176,0.9272118272787846,-241.56443323788037,-5.710262783796869,YEAR_WITH_X_DAYS_PRIOR,8
0.9965217391304346,-0.7617391304347826,0.703006856807605,15,38,303,0.760318938868943,0.021593593651478688,0.13315544359191456,0.9239353403166435,-186.77851253536969,-6.094092347869591,YEAR_WITH_X_DAYS_PRIOR,9
0.9965217391304346,-0.6834782608695652,0.7073806994243388,14,38,303,0.7450012970287743,0.018957821194459466,0.13696435014600603,0.9150948019676075,-202.2048196712078,-6.574071986187787,YEAR_WITH_X_DAYS_PRIOR,10
0.997391304347826,-0.6365217391304347,0.7066195921236064,14,39,301,0.6725060144316503,0.01636422752623692,0.13689034239411127,0.9281632501176595,-158.70770524102193,-6.243906272393309,YEAR_WITH_X_DAYS_PRIOR,11
0.9965217391304346,-0.6539130434782607,0.7031507403921688,16,37,300,0.6674399846620838,0.01864539442782843,0.13691515221468875,0.9223750595331023,-157.04892758201527,-6.392135959243171,YEAR_WITH_X_DAYS_PRIOR,12
0.9965217391304346,-0.6756521739130433,0.7026076732322181,17,37,298,0.6779632241487326,0.013838893643954171,0.13966548486244557,0.9388234273211741,-152.82132762319435,-6.467710520283828,YEAR_WITH_X_DAYS_PRIOR,13
0.994782608695652,-0.6982608695652174,0.7065179959459136,14,45,292,0.6737146508765832,0.013398414861451963,0.14100211036202318,0.9394094234098659,-157.85439156498626,-6.641597797023675,YEAR_WITH_X_DAYS_PRIOR,14
0.9930434782608695,-0.7234782608695651,0.6987186832128316,17,43,290,0.5808064764136945,0.01352733746478943,0.13938896974357487,0.9068359686826493,-173.33977243804821,-6.570748640715181,YEAR_WITH_X_DAYS_PRIOR,15
0.997391304347826,-0.8330434782608694,0.6967278139628037,17,45,287,0.5873147567668323,0.014608492679330868,0.13621583262804782,0.9372004402420252,-137.67361816687773,-6.383748455535234,YEAR_WITH_X_DAYS_PRIOR,16
0.9965217391304346,-0.8286212180136622,0.6963343755486584,18,42,288,1497930929532.0918,0.018020756776562435,7928301644.561485,0.9122649076498366,-5.1303500254177884e+26,-1.5588211209014451e+24,YEAR_WITH_X_DAYS_PRIOR,17
0.9965217391304346,-0.7382608695652173,0.6941396645550341,18,38,291,3010215229007.4272,0.017807054315305774,9338460931.019068,0.8925751573281901,-4.124023517521962e+26,-1.2127704889607613e+24,YEAR_WITH_X_DAYS_PRIOR,18
0.9965217391304346,-0.7139130434782608,0.6939945667182249,17,42,287,0.5861659254382384,0.0162855021064611,0.14301781272062727,0.9034486802669341,-104.81171553277068,-6.957634231862952,YEAR_WITH_X_DAYS_PRIOR,19
0.9991304347826085,-0.7026086956521739,0.6937088605297291,16,43,286,0.591265843790957,0.0170594602587846,0.14533239831242012,0.9269344687205756,-115.34580161637956,-7.068520223017118,YEAR_WITH_X_DAYS_PRIOR,20
0.9991304347826085,-0.6939130434782607,0.6912818456870435,16,45,283,221877589570.75635,0.01567981995965805,1121101492.1135232,0.8938396605906069,-7.82846869697396e+24,-3.283068831340658e+22,YEAR_WITH_X_DAYS_PRIOR,21
0.9991304347826085,-0.6713043478260868,0.68895255920601,15,45,283,0.7631538436056737,0.018286393418495802,0.15180479658961665,0.8988977541040757,-222.6484172042243,-7.892754894066212,YEAR_WITH_X_DAYS_PRIOR,22
